COD_LOGRADOURO;DES_LOGRADOURO
1;AEROPORTO
2;ALAMEDA
3;ÁREA
4;AVENIDA
5;CAMPO
6;CHACARA
7;COLONIA
8;CONDOMINIO
9;CONJUNTO
10;DISTRITO
11;ESPLANADA
12;ESTACAO
13;ESTRADA
14;FAVELA
15;FAZENDA
16;FEIRA
17;JARDIM
18;LADEIRA
19;LAGO
20;LAGOA
21;LARGO
22;LOTEAMENTO
23;MORRO
24;NUCLEO
25;PARQUE
26;PASSARELA
27;PATIO
28;PRACA
29;QUADRA
30;RECANTO
31;RESIDENCIAL
32;RODOVIA
33;RUA
34;SETOR
35;SITIO
36;TRAVESSA
37;TRECHO
38;TREVO
39;VALE
40;VEREDA
41;VIA
42;VIADUTO
43;VIELA
44;VILA
